row_id,Prediction,spyplane
0,0.001672222,0
1,0.009662698,0
2,0.001733333,0
3,0.003930159,0
4,0.019266667,0
5,0.031940476,0
6,0.008645238,0
7,0.022181746,0
8,0.003966667,0
9,0.01027785,0
10,0.146923016,0
11,0.008580159,0
12,0.043135714,0
13,0.002335714,0
14,0.000777778,0
15,0.049339033,0
16,0.191523882,0
17,0.000844444,0
18,0.031990354,0
19,0.053335592,0
20,0.001916667,0
21,0.004734127,0
22,0.023553175,0
23,0.003593651,0
24,0.169720779,0
25,0.007760317,0
26,0.010614286,0
27,0.008880952,0
28,0.000983333,0
29,0.001419048,0
30,0.262416378,0
31,0.031802453,0
32,0.008798413,0
33,0.009514358,0
34,0.041531746,0
35,0.00357619,0
36,0.117282939,0
37,0.005340476,0
38,0.006384127,0
39,0.693521284,1
40,0.006628571,0
41,0.003109524,0
42,0.003561111,0
43,0.01699697,0
44,0.01392619,0
45,0.062090765,0
46,0.011542857,0
47,0.012024603,0
48,0.134001659,0
49,0.011776768,0
50,0.027980952,0
51,0.018592929,0
52,0.00105,0
53,0.028707937,0
54,0.003968254,0
55,0,0
56,0.043184632,0
57,0.002011111,0
58,0.001111111,0
59,0.005068254,0
60,0.103834055,0
61,0.021645022,0
62,0.002033333,0
63,0.020609668,0
64,0.015288889,0
65,0.005016667,0
66,0.013737302,0
67,0.007453968,0
68,0.015760317,0
69,0.014187757,0
70,0.311127961,0
71,0.003038889,0
72,0.017684127,0
73,0.005356349,0
74,0.02762381,0
75,0.002137374,0
76,0.000722222,0
77,0.00289127,0
78,0.074312698,0
79,0.015210534,0
80,0.002681746,0
81,0.005664286,0
82,0.001094444,0
83,0.636661472,1
84,0.008285714,0
85,0.029708947,0
86,0.01231746,0
87,0.009099206,0
88,0.025265079,0
89,0.002796825,0
90,0.005670635,0
91,0.006146825,0
92,0.071798557,0
93,0.002416667,0
94,0.052877778,0
95,0.004504762,0
96,0.002349206,0
97,0.007047619,0
98,0.002196825,0
99,0.065413492,0
100,0.035392063,0
101,0.110791198,0
102,0.005901587,0
103,0.005965945,0
104,0.082046248,0
105,0.01653254,0
106,0,0
107,0.015776263,0
108,0.178323665,0
109,0.013033333,0
110,0.010651587,0
111,0.00025,0
112,0.000333333,0
113,0.000222222,0
114,0.062705506,0
115,0.004654762,0
116,0.000777778,0
117,0.048830037,0
118,0.012030159,0
119,0.724508514,1
120,0.0012,0
121,0.063271429,0
122,0.029265873,0
123,0.006862698,0
124,0.035361783,0
125,0.23765938,0
